Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,3131.850098,3131.850098,3120.030029,3125.070068,3125.070068,20273100
2019-01-22,3120.320068,3122.760010,3097.270020,3112.800049,3112.800049,30018100
2019-01-23,3104.080078,3132.790039,3094.479980,3112.129883,3112.129883,0
2019-01-24,3113.889893,3136.419922,3107.669922,3126.310059,3126.310059,38509200
2019-01-25,3133.810059,3168.030029,3133.810059,3163.239990,3163.239990,38095600
2019-01-28,3157.000000,3157.000000,3131.260010,3137.270020,3137.270020,31338500
2019-01-29,3136.149902,3166.239990,3130.750000,3153.419922,3153.419922,29990500
2019-01-30,3155.800049,3163.340088,3148.840088,3161.739990,3161.739990,32877000
2019-01-31,3163.020020,3177.100098,3129.580078,3159.429932,3159.429932,61323600
2019-02-01,3162.459961,3171.949951,3143.500000,3171.120117,3171.120117,45249500
2019-02-04,3170.300049,3174.229980,3143.870117,3165.199951,3165.199951,33167600
2019-02-05,3165.840088,3215.040039,3162.780029,3215.040039,3215.040039,50345900
2019-02-06,3208.429932,3216.129883,3199.030029,3212.750000,3212.750000,39803000
2019-02-07,3204.929932,3208.669922,3150.760010,3150.760010,3150.760010,45534100
2019-02-08,3151.169922,3161.139893,3124.620117,3135.620117,3135.620117,38317900
2019-02-11,3142.840088,3173.389893,3142.840088,3165.610107,3165.610107,33329200
2019-02-12,3176.760010,3200.500000,3176.760010,3190.750000,3190.750000,34559200
2019-02-13,3194.729980,3214.219971,3192.030029,3202.370117,3202.370117,34115900
2019-02-14,3212.949951,3228.110107,3182.659912,3182.659912,3182.659912,37972500
2019-02-15,3179.379883,3247.340088,3175.709961,3241.250000,3241.250000,53343300
2019-02-18,3239.100098,3248.139893,3235.570068,3244.790039,3244.790039,28073100
2019-02-19,3242.790039,3251.219971,3223.399902,3239.409912,3239.409912,31367500
2019-02-20,3241.699951,3264.709961,3236.739990,3259.489990,3259.489990,29929400
2019-02-21,3261.739990,3270.070068,3254.570068,3263.699951,3263.699951,33636700
2019-02-22,3263.489990,3281.780029,3259.739990,3270.550049,3270.550049,26574400
2019-02-25,3275.020020,3289.479980,3275.020020,3280.010010,3280.010010,33385600
2019-02-26,3275.139893,3293.760010,3261.030029,3289.320068,3289.320068,34342200
2019-02-27,3283.570068,3287.469971,3269.979980,3282.770020,3282.770020,42644400
2019-02-28,3271.139893,3301.020020,3268.949951,3298.260010,3298.260010,51174200
2019-03-01,3306.590088,3330.479980,3306.590088,3312.100098,3312.100098,38063300
2019-03-04,3318.100098,3329.649902,3315.629883,3317.120117,3317.120117,28131100
2019-03-05,3316.959961,3330.719971,3308.639893,3327.189941,3327.189941,33779500
